Threads,Peak Performance (Mega AutoCors Per Second),Average Performance (Mega AutoCors Per Second)
8,2476.644029,2211.085635
Shift,Sum
423,-511150.937500
424,287612.437500
425,-127187.406250
426,-104375.859375
427,-175753.156250
428,281360.687500
429,-191882.578125
430,-488383.312500
431,-119695.062500
432,-335380.031250
433,93077.921875
434,-289196.562500
435,197082.765625
436,371821.187500
437,-329368.687500
438,155763.453125
439,-87935.187500
440,163778.140625
441,928.387390
442,494821.000000
443,-111486.140625
444,-228258.640625
445,-66853.281250
446,-320532.250000
447,142419.921875
448,280227.906250
449,225716.796875
450,364110.375000
451,-113306.125000
452,-1535.930298
453,-193711.593750
454,-161759.437500
455,-244479.281250
456,-18261.181641
457,-19791.843750
458,-57712.382812
459,-428950.812500
460,-144302.093750
461,-283640.750000
462,241175.781250
463,70097.546875
464,-484615.031250
465,-22111.480469
466,288364.437500
467,-316057.156250
468,-45343.371094
469,-97796.625000
470,287505.000000
471,322215.906250
472,575041.187500
473,145373.703125
474,299241.906250
475,-20477.511719
476,205804.718750
477,-92843.335938
478,506109.718750
479,-52822.824219
480,-118873.218750
481,-99092.367188
482,-10459.244141
483,259067.265625
484,319930.375000
485,296544.000000
486,-107909.445312
487,149948.734375
488,257944.781250
489,575937.250000
490,482466.468750
491,44066.652344
492,-11002.812500
493,367022.937500
494,-119750.500000
495,-238927.218750
496,110678.531250
497,-330908.093750
498,54721.066406
499,142999.546875
500,9218.875000
501,-208554.921875
502,435949.250000
503,96466.328125
504,79150.531250
505,523389.218750
506,132584.062500
507,-202262.234375
508,-183528.984375
509,153575.343750
510,-49791.171875
511,15378.471680
512,-334887.031250
513,44839.976562
514,-50208.269531
515,239694.656250
516,6605.892578
517,245938.046875
518,564157.000000
519,239956.812500
520,-76667.742188
521,-311325.343750
522,432237.625000
523,409579.031250
524,409328.468750
525,79943.960938
526,-343709.312500
527,340060.656250
528,122580.757812
529,-304386.875000
530,478188.906250
531,-33667.714844
532,119450.804688
533,87561.132812
534,307280.437500
535,-229623.031250
536,449035.906250
537,225430.390625
538,-11604.372070
539,225673.859375
540,18496.769531
541,52414.023438
542,149723.406250
543,139849.687500
544,-70300.921875
545,282551.093750
546,29751.541016
547,-139832.578125
548,284302.875000
549,124961.890625
550,558640.937500
551,317210.468750
552,-180411.906250
553,78629.843750
554,-507320.937500
555,-61340.710938
556,-397611.937500
557,-160980.500000
558,66236.757812
559,-23598.656250
560,256978.015625
561,11920.149414
562,376926.281250
563,214662.109375
564,-105242.578125
565,-312117.062500
566,308489.281250
567,-651361.812500
568,281710.718750
569,327176.031250
570,-170655.515625
571,-504694.281250
572,301482.406250
573,-394433.875000
574,90495.062500
575,156129.593750
576,-213558.453125
577,-482187.812500
578,107485.757812
579,-146798.171875
580,-169057.328125
581,497058.406250
582,23975.556641
583,-604998.875000
584,197768.718750
585,-146571.640625
586,-42026.273438
587,-161667.562500
588,32295.064453
589,18972.019531
590,-212749.234375
591,-493342.000000
592,-84776.687500
593,536472.625000
594,-62271.035156
595,-39545.871094
596,-316329.218750
597,-533853.000000
598,-414337.812500
599,140889.359375
600,111851.132812
601,-21595.105469
602,-304022.750000
603,-178688.406250
604,116814.554688
605,172757.968750
606,65723.820312
607,-113666.921875
608,235154.796875
609,32113.558594
610,30429.064453
611,267676.406250
612,-82754.320312
613,-125588.789062
614,-316854.000000
615,-230449.312500
616,-46770.542969
617,-192949.375000
618,198039.156250
619,4487.379883
620,120910.273438
621,306108.531250
622,23198.664062
623,361975.250000
624,433009.281250
625,-65514.796875
626,-7066.339355
627,265649.750000
628,-270982.968750
629,223573.156250
630,-195742.156250
631,151937.703125
632,-194536.328125
633,233241.718750
634,200562.937500
635,-562450.812500
636,-402202.968750
637,422973.218750
638,-439889.812500
639,-231919.328125
640,-327592.812500
641,69018.531250
642,233034.343750
643,-140960.796875
644,-185642.406250
645,75759.539062
646,232733.031250
647,-297688.531250
648,-133124.640625
649,-16471.572266
650,501034.375000
651,269466.718750
652,299190.843750
653,331908.750000
654,-18484.773438
655,18535.826172
656,-162085.125000
657,22897.861328
658,-50866.386719
659,102409.250000
660,250123.734375
661,117141.953125
662,31251.390625
663,-72146.984375
664,-182015.312500
665,150125.343750
666,-1876.020142
667,-163787.843750
668,79801.937500
669,305978.156250
670,87263.289062
671,182976.421875
672,-329002.843750
673,-164124.859375
674,-190697.640625
675,533449.062500
676,700782.187500
677,180873.328125
678,350188.031250
679,99709.859375
680,87396.671875
681,373297.218750
682,389176.468750
683,-206875.796875
684,259891.125000
685,-284890.062500
686,127804.851562
687,-198337.906250
688,17327.093750
689,-10340.973633
690,-90603.296875
691,462022.656250
692,150247.718750
693,534491.625000
694,-121773.453125
695,-8191.266113
696,583762.437500
697,42130.472656
698,-408353.875000
699,422834.093750
700,284214.687500
701,-266177.656250
702,-173223.750000
703,195223.859375
704,-144565.921875
705,131133.093750
706,491741.218750
707,299445.906250
708,-193022.937500
709,-32464.371094
710,17713.181641
711,488004.531250
712,34093.664062
713,348227.812500
714,159930.500000
715,361304.562500
716,368023.125000
717,-1547.881348
718,-335886.625000
719,464960.312500
720,-392830.000000
721,344902.843750
722,-79907.281250
723,283627.531250
724,271771.125000
725,-371873.875000
726,-296833.125000
727,279475.843750
728,573837.375000
729,278802.250000
730,234309.546875
731,79328.093750
732,-407277.125000
733,-34520.472656
734,270052.093750
735,192628.203125
736,-130696.117188
737,-135783.453125
738,39400.933594
739,449926.593750
740,307279.218750
741,526188.687500
742,-80798.789062
743,-176520.906250
744,-134820.359375
745,612787.750000
746,53918.214844
747,481813.437500
748,374121.500000
749,-464045.718750
750,403994.125000
751,109228.531250
752,-49850.792969
753,-336801.156250
754,133749.843750
755,-37436.726562
756,190007.937500
757,160563.562500
758,-120970.953125
759,39542.195312
760,321462.937500
761,-70620.578125
762,-56816.589844
763,-339238.968750
764,69135.117188
765,360120.125000
766,-355956.406250
767,15101.318359
768,57923.054688
769,-74359.320312
770,-380649.062500
771,-253015.046875
772,-452453.406250
773,406577.781250
774,-507206.750000
775,-305394.093750
776,480120.437500
777,-70650.226562
778,402034.562500
779,-581857.625000
780,-603918.125000
781,-35373.750000
782,-363161.312500
783,-430289.031250
784,-225380.000000
785,-122472.015625
786,48764.761719
787,-121870.429688
788,204094.000000
789,343095.750000
790,-493710.687500
791,-50791.191406
792,-319709.937500
793,126338.515625
794,-596104.062500
795,45626.472656
796,-114116.992188
797,269280.250000
798,-432576.468750
799,135556.187500
800,-492676.062500
801,-59662.195312
802,-258173.421875
803,230046.125000
804,111702.523438
805,135186.015625
806,103590.937500
807,-190864.062500
808,73606.960938
809,-224009.265625
810,249855.296875
811,-294874.218750
812,-105779.515625
813,350809.312500
814,-40817.656250
815,276883.218750
816,-231339.453125
817,-376294.531250
818,-144615.125000
819,-213228.921875
820,-646089.375000
821,-255562.515625
822,-334341.406250
823,-639991.187500
824,-104070.671875
825,-34986.167969
826,-107108.601562
827,197679.546875
828,-138503.578125
829,-235932.156250
830,-412217.875000
831,-323367.468750
832,-100928.765625
833,197054.109375
834,248627.500000
835,-10574.603516
836,11887.349609
837,221103.625000
838,-75066.343750
839,452723.562500
840,-479466.093750
841,-423291.781250
842,-89005.367188
843,-100002.343750
844,-335522.593750
845,-253999.265625
846,-67434.273438
847,405301.187500
848,-3436.530029
849,-536023.875000
850,-326865.687500
851,57252.351562
852,-201850.015625
853,-166010.468750
854,83909.335938
855,158833.078125
856,-549941.125000
857,-136470.937500
858,102427.453125
859,-398613.281250
860,31091.056641
861,97315.140625
862,-31974.490234
863,-224380.031250
864,-407298.125000
865,243475.328125
866,-430452.437500
867,-313095.906250
868,449291.343750
869,-160434.890625
870,236131.812500
871,-103576.937500
