Peak Performance (Mega AutoCors Per Second)
42119.086257
Shift,Sum
343,-57684.367188
344,-50313.730469
345,-51842.183594
346,-42474.015625
347,-49145.015625
348,-39604.703125
349,-43581.468750
350,-42683.523438
351,-42845.597656
352,-40302.921875
353,-39476.585938
354,-39001.113281
355,-31110.876953
356,-37562.070312
357,-34166.812500
358,-27200.953125
359,-35182.042969
360,-14576.157227
361,-25242.689453
362,-24715.041016
363,-24674.054688
364,-10146.936523
365,-25873.523438
366,-19353.750000
367,-21107.589844
368,-11271.670898
369,-17747.916016
370,-8686.354492
371,-15498.083008
372,-9750.341797
373,337.265930
374,-3910.316162
375,-1912.440918
376,-3774.857422
377,-9057.701172
378,7852.482422
379,11087.922852
380,4532.208984
381,12262.191406
382,7988.035156
383,14093.237305
384,3519.177979
385,15209.331055
386,11889.468750
387,13389.640625
388,26878.591797
389,19950.291016
390,28530.490234
391,30717.714844
392,28215.328125
393,31120.802734
394,26489.248047
395,33192.660156
396,29266.500000
397,29805.843750
398,27242.308594
399,29918.933594
400,31893.675781
401,44554.761719
402,41185.230469
403,37728.394531
404,44115.250000
405,41166.000000
406,62343.726562
407,44449.128906
408,36481.042969
409,48211.375000
410,48034.804688
411,54764.679688
412,42948.644531
413,48433.195312
414,66709.148438
415,51986.230469
416,58289.855469
417,59539.816406
418,58795.085938
419,60142.781250
420,65458.093750
421,58179.878906
422,53528.058594
423,74888.765625
424,58178.746094
425,63242.011719
426,67370.929688
427,58595.839844
428,65039.062500
429,67376.921875
430,55373.378906
431,54018.726562
432,69078.296875
433,58007.203125
434,47741.144531
435,58440.882812
436,56186.421875
437,75416.218750
438,54157.917969
439,68078.695312
440,62172.203125
441,62547.621094
442,63160.695312
443,61900.156250
444,52304.847656
445,52780.500000
446,53442.644531
447,60151.957031
448,62266.199219
449,53315.000000
450,54047.406250
451,59750.550781
452,44679.503906
453,60303.976562
454,44729.957031
455,49522.347656
456,41391.417969
457,39860.976562
458,43237.132812
459,46302.898438
460,44817.425781
461,35599.292969
462,36324.406250
463,28471.933594
464,39148.570312
465,27053.208984
466,30416.488281
467,40219.617188
468,24797.166016
469,28719.632812
470,21363.443359
471,10187.185547
472,18502.447266
473,25740.554688
474,16382.468750
475,24426.228516
476,23241.998047
477,20890.615234
478,12831.055664
479,14695.958984
480,759.706848
481,219.166229
482,5928.904297
483,2757.841553
484,-4880.404785
485,3528.151611
486,-4992.110840
487,489.707336
488,-1642.430908
489,-593.002197
490,-983.034180
491,-2474.797607
492,-7397.813477
493,-17440.505859
494,-31581.650391
495,-18343.035156
496,-18460.125000
497,-22484.794922
498,-32463.150391
499,-20879.894531
500,-24868.250000
501,-14849.875000
502,-29143.585938
503,-28081.486328
504,-27371.685547
505,-29216.007812
506,-48011.164062
507,-38381.449219
508,-32759.093750
509,-47014.675781
510,-25209.353516
511,-43290.828125
512,-40882.234375
513,-60043.222656
514,-35788.132812
515,-45786.492188
516,-41574.742188
517,-43474.839844
518,-34660.875000
519,-46834.222656
520,-47169.289062
521,-56981.855469
522,-60387.679688
523,-59774.972656
524,-57403.625000
525,-51157.546875
526,-48395.796875
527,-54235.816406
528,-64242.343750
529,-58565.742188
530,-54093.339844
531,-62838.902344
532,-51311.968750
533,-55669.828125
534,-58173.382812
535,-60170.648438
536,-60960.289062
537,-49560.839844
538,-56180.363281
539,-47351.101562
540,-59838.921875
541,-61318.945312
542,-63649.125000
543,-66967.906250
544,-67024.757812
545,-49470.558594
546,-58089.363281
547,-54942.261719
548,-50997.445312
549,-64156.679688
550,-56895.109375
551,-55454.082031
552,-66023.515625
553,-46902.750000
554,-61568.640625
555,-54457.652344
556,-61327.660156
557,-47902.718750
558,-55034.804688
559,-52768.804688
560,-56033.894531
561,-37243.855469
562,-40968.867188
563,-45908.289062
564,-51817.562500
